time,pitch,roll,heading,aileronInput,elevatorInput,Baro_altitude,Baro_vertical_speed,Baro_temperature,GPS_locked,GPS_coord_x,GPS_coord_y,GPS_altitude,GPS_heading,GPS_speed,GPS_satellites,aileronTrim,elevatorTrim
0.248,4.17,137.5,168.23,-1.0,0.0,15.96,-0.02,29.87,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0.448,4.74,137.5,191.51,-1.0,0.0,15.97,-0.01,29.88,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0.649,4.8,137.5,194.01,-1.0,0.0,16.02,0.04,29.89,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0.849,4.81,137.5,194.28,-1.0,0.0,16.0,0.01,29.9,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
1.049,4.81,137.5,194.31,-1.0,0.0,16.04,0.04,29.9,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
1.249,4.81,137.5,194.31,-1.0,0.0,16.09,0.09,29.91,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
1.449,4.81,137.5,194.31,-1.0,0.0,16.09,0.06,29.92,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
1.649,4.81,137.5,194.31,-1.0,0.0,16.15,0.11,29.92,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
1.849,4.81,137.5,194.31,-1.0,0.0,16.13,0.07,29.93,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
2.049,4.81,137.5,194.31,-1.0,0.0,16.17,0.1,29.93,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
2.249,4.81,137.5,194.31,-1.0,0.0,16.19,0.09,29.93,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
2.449,4.81,137.5,194.31,-1.0,0.0,16.2,0.08,29.93,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
2.649,4.81,137.5,194.31,-1.0,0.0,16.24,0.11,29.94,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
2.849,4.81,137.5,194.31,-1.0,0.0,16.21,0.06,29.94,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
3.049,4.81,137.5,194.31,-1.0,0.0,16.2,0.04,29.94,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
3.249,4.81,137.5,194.31,-1.0,0.0,16.25,0.08,29.94,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
3.449,4.81,137.5,194.31,-1.0,0.0,16.25,0.06,29.94,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
3.649,4.81,137.5,194.31,-1.0,0.0,16.29,0.09,29.94,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
3.849,4.81,137.5,194.31,-1.0,0.0,16.24,0.02,29.95,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
4.049,4.81,137.5,194.31,-1.0,0.0,16.29,0.06,29.95,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
4.249,4.81,137.5,194.31,-1.0,0.0,16.31,0.07,29.95,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
4.449,4.81,137.5,194.31,-1.0,0.0,16.28,0.03,29.95,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
4.649,4.81,137.5,194.31,-1.0,0.0,16.31,0.05,29.95,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
4.849,4.81,137.5,194.31,-1.0,0.0,16.32,0.05,29.95,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
5.049,4.81,137.5,194.31,-1.0,0.0,16.33,0.05,29.95,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
5.249,4.81,137.5,194.31,-1.0,0.0,16.29,-0.0,29.95,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
5.449,4.81,137.5,194.31,-1.0,0.0,16.27,-0.02,29.95,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
5.649,4.81,137.5,194.31,-1.0,0.0,16.27,-0.02,29.95,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
5.849,4.81,137.5,194.31,-1.0,0.0,16.24,-0.04,29.95,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
6.049,4.81,137.5,194.31,-1.0,0.0,16.28,0.0,29.95,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
6.249,4.81,137.5,194.31,-1.0,0.0,16.26,-0.02,29.96,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
6.449,4.81,137.5,194.31,-1.0,0.0,16.31,0.03,29.96,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
6.649,4.81,137.5,194.31,-1.0,0.0,16.26,-0.02,29.96,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
6.849,4.81,137.5,194.31,-1.0,0.0,16.25,-0.02,29.96,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
7.049,4.81,137.5,194.31,-1.0,0.0,16.26,-0.01,29.96,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
7.249,4.81,137.5,194.31,-1.0,0.0,16.25,-0.02,29.96,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
7.449,4.81,137.5,194.31,-1.0,0.0,16.26,-0.01,29.96,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
7.649,4.81,137.5,194.31,-1.0,0.0,16.29,0.02,29.96,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
7.849,4.81,137.5,194.31,-1.0,0.0,16.27,0.0,29.96,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
8.049,4.81,137.5,194.31,-1.0,0.0,16.33,0.06,29.96,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
8.249,4.81,137.5,194.31,-1.0,0.0,16.33,0.04,29.96,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
8.449,4.81,137.5,194.31,-1.0,0.0,16.29,-0.0,29.96,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
8.649,4.81,137.5,194.31,-1.0,0.0,16.28,-0.01,29.96,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
8.849,4.81,137.5,194.31,-1.0,0.0,16.29,0.01,29.96,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
9.049,4.81,137.5,194.31,-1.0,0.0,16.26,-0.03,29.97,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
